keys,en,zh_CN
DATE_FORMAT,Year %d · Month %d · Day %d,第 %d 年 · 第 %d 月 · 第 %d 天
APP_TITLE,Data Center Tycoon,机房大亨
META_TAB_ROADMAP,Goals,路线
META_TAB_COLLECTION,Archive,典藏
META_TAB_BOARD,Board,董事
COMPANY_ROADMAP,Company Roadmap,公司路线图
COMPANY_ROADMAP_SUBTITLE,Permanent goals make every expansion count,永久目标让每次扩建都有意义
ROADMAP_FIRST_FACILITY,First Facility,第一座机房
ROADMAP_FIRST_FACILITY_DESC,Complete your first data center,完成第一座数据中心
ROADMAP_CAMPUS_OPERATOR,Campus Operator,园区经营者
ROADMAP_CAMPUS_OPERATOR_DESC,Build six data centers,累计建设六座机房
ROADMAP_CLOUD_TRANSITION,Cloud Transition,迈入云时代
ROADMAP_CLOUD_TRANSITION_DESC,Advance to Era 2,公司进入时代二
ROADMAP_CLIENT_PORTFOLIO,Client Portfolio,客户组合
ROADMAP_CLIENT_PORTFOLIO_DESC,Serve four different customers,服务四类不同客户
ROADMAP_GLOBAL_NETWORK,Global Network,全球网络
ROADMAP_GLOBAL_NETWORK_DESC,Upgrade the network to level four,将网络升级到四级
ROADMAP_LISTED_GROUP,Listed Group,上市集团
ROADMAP_LISTED_GROUP_DESC,Complete your first company legacy,完成第一次公司传承
ROADMAP_PROGRESS,%d / %d,进度 %d / %d
ROADMAP_CLAIM,Claim · %d gems,领取 · %d 钻石
ROADMAP_CLAIMED,Reward claimed,奖励已领取
ROADMAP_READY,Milestone complete,里程碑已完成
CAMPUS_STRATEGY,Campus Strategy,园区定位
CAMPUS_STRATEGY_SUBTITLE,Choose a free focus and activate it through your layout,免费选择定位并通过经营条件激活
CAMPUS_STRATEGY_CURRENT,Current · %s,当前定位 · %s
CAMPUS_STRATEGY_UNSET,No specialization selected,尚未选择定位
CAMPUS_STRATEGY_ACTIVE,Active · income +%d%%,已激活 · 收入 +%d%%
CAMPUS_STRATEGY_INACTIVE,Selected · complete the conditions to activate,已选择 · 满足条件后激活
CAMPUS_STRATEGY_FREE,Switch for free,免费切换
CAMPUS_STRATEGY_ACTIVE_SHORT,Active · +%d%%,已激活 · +%d%%
CAMPUS_STRATEGY_SELECTED_SHORT,Selected · conditions pending,已选择 · 待达成
CAMPUS_STRATEGY_FREE_SHORT,Choose free · +%d%%,免费选择 · +%d%%
SPECIALIZATION_HOSTING,Hosting Hub,托管枢纽
SPECIALIZATION_HOSTING_DESC,Two compute racks activate +6% Internet-provider income,配置两个计算机柜后互联网厂商收入 +6%
SPECIALIZATION_CLOUD,Cloud Exchange,云服务枢纽
SPECIALIZATION_CLOUD_DESC,Two rack types activate +6% Cloud-provider income,配置两类机柜后云厂商收入 +6%
SPECIALIZATION_AI,AI Compute Cluster,AI 算力集群
SPECIALIZATION_AI_DESC,Two GPU racks activate +7% AI-company income,配置两个 GPU 机柜后 AI 公司收入 +7%
SPECIALIZATION_DIVERSIFIED,Diversified Campus,多元园区
SPECIALIZATION_DIVERSIFIED_DESC,Two customer types activate +4% income across the campus,服务两类客户后全园区收入 +4%
RELATIONSHIP_NEW,New Partner,新客户
RELATIONSHIP_FAMILIAR,Familiar Partner,熟悉伙伴
RELATIONSHIP_TRUSTED,Trusted Partner,信赖伙伴
RELATIONSHIP_CORNERSTONE,Cornerstone Partner,基石伙伴
RELATIONSHIP_STATUS,Relationship · %s · ×%.2f,关系 · %s · ×%.2f
CONTRACT_CHOOSE_DURATION,Choose Contract Term,选择合约期限
CONTRACT_DURATION_FLEXIBLE,Flexible · 3 months,灵活合约 · 3 个月
CONTRACT_DURATION_FLEXIBLE_DESC,Short commitment · income ×0.97,短期灵活 · 收入 ×0.97
CONTRACT_DURATION_STANDARD,Standard · 6 months,标准合约 · 6 个月
CONTRACT_DURATION_STANDARD_DESC,Balanced term · income ×1.00,期限均衡 · 收入 ×1.00
CONTRACT_DURATION_STRATEGIC,Strategic · 12 months,战略合约 · 12 个月
CONTRACT_DURATION_STRATEGIC_DESC,Familiar relationship required · income ×1.04,需达到熟悉关系 · 收入 ×1.04
CONTRACT_TERM_PROJECTION,$%s/mo · term value $%s,每月 $%s · 合约价值 $%s
